filename cpuseconds wallseconds overhead
dsgdb9nsd_003073 191.64 230.88 1.20476
dsgdb9nsd_001778 266.06 327.71 1.23171
dsgdb9nsd_001473 160.19 181.88 1.1354
dsgdb9nsd_004543 266.92 343.0 1.28503
dsgdb9nsd_001550 280.12 330.04 1.17821
dsgdb9nsd_000384 109.57 121.2 1.10614
dsgdb9nsd_003563 195.28 232.4 1.19009
dsgdb9nsd_004527 367.89 469.14 1.27522
dsgdb9nsd_003585 159.43 188.01 1.17926
dsgdb9nsd_000085 98.2 123.87 1.26141
dsgdb9nsd_003120 151.82 196.14 1.29192
dsgdb9nsd_003229 235.74 269.24 1.14211
dsgdb9nsd_003220 199.39 239.75 1.20242
dsgdb9nsd_001814 334.9 380.4 1.13586
dsgdb9nsd_002717 153.51 191.49 1.24741
dsgdb9nsd_003717 126.66 150.07 1.18483
dsgdb9nsd_001382 87.65 100.35 1.14489
dsgdb9nsd_003171 168.51 184.53 1.09507
dsgdb9nsd_000519 104.22 130.38 1.25101
dsgdb9nsd_003394 257.7 299.69 1.16294
dsgdb9nsd_002144 147.93 186.66 1.26181
dsgdb9nsd_004212 122.37 153.6 1.25521
dsgdb9nsd_002856 376.71 432.02 1.14682
dsgdb9nsd_000582 198.95 221.79 1.1148
dsgdb9nsd_003913 109.97 125.62 1.14231
dsgdb9nsd_000729 85.23 94.0 1.1029
dsgdb9nsd_000628 145.07 173.21 1.19398
dsgdb9nsd_001402 196.43 221.11 1.12564
dsgdb9nsd_001184 448.95 543.41 1.2104
dsgdb9nsd_003161 198.79 222.83 1.12093
dsgdb9nsd_001752 352.27 395.37 1.12235
dsgdb9nsd_000115 43.1 54.1 1.25522
dsgdb9nsd_004753 148.83 188.2 1.26453
dsgdb9nsd_000854 154.94 196.11 1.26572
dsgdb9nsd_001371 115.78 138.4 1.19537
dsgdb9nsd_001190 335.94 395.43 1.17709
dsgdb9nsd_002381 564.44 631.85 1.11943
dsgdb9nsd_002629 114.77 118.78 1.03494
dsgdb9nsd_003492 146.04 176.58 1.20912
dsgdb9nsd_001188 210.84 233.89 1.10932
dsgdb9nsd_002866 324.49 351.06 1.08188
dsgdb9nsd_002231 155.74 181.53 1.1656
dsgdb9nsd_003836 136.25 144.45 1.06018
dsgdb9nsd_003241 175.44 190.76 1.08732
dsgdb9nsd_000210 67.44 68.72 1.01898
dsgdb9nsd_002412 314.46 376.58 1.19754
dsgdb9nsd_003908 160.62 182.5 1.13622
dsgdb9nsd_002197 146.85 179.75 1.22404
dsgdb9nsd_002416 153.63 159.99 1.0414
dsgdb9nsd_001529 189.96 229.36 1.20741
dsgdb9nsd_004249 125.79 159.03 1.26425
dsgdb9nsd_000625 97.13 99.3 1.02234
dsgdb9nsd_002052 123.69 138.64 1.12087
dsgdb9nsd_004717 161.58 187.59 1.16097
dsgdb9nsd_001069 118.19 130.98 1.10822
dsgdb9nsd_000337 115.11 130.3 1.13196
dsgdb9nsd_003050 303.84 373.83 1.23035
dsgdb9nsd_002282 140.27 163.77 1.16753
dsgdb9nsd_001502 127.25 160.79 1.26358
dsgdb9nsd_003702 110.52 119.34 1.0798
dsgdb9nsd_002813 96.91 107.57 1.11
dsgdb9nsd_001249 308.82 383.54 1.24195
dsgdb9nsd_003574 243.69 280.71 1.15191
dsgdb9nsd_001001 134.13 145.13 1.08201
dsgdb9nsd_002741 127.53 163.34 1.2808
dsgdb9nsd_001587 431.31 505.78 1.17266
dsgdb9nsd_002917 150.98 181.83 1.20433
dsgdb9nsd_000290 137.21 159.7 1.16391
dsgdb9nsd_003002 249.3 277.11 1.11155
dsgdb9nsd_000491 115.72 143.14 1.23695
dsgdb9nsd_000033 29.17 29.77 1.02057
dsgdb9nsd_003028 131.18 142.73 1.08805
dsgdb9nsd_000472 99.06 111.06 1.12114
dsgdb9nsd_002329 197.84 247.73 1.25217
dsgdb9nsd_001150 187.69 214.34 1.14199
dsgdb9nsd_003441 202.53 241.17 1.19079
dsgdb9nsd_002833 232.0 267.35 1.15237
dsgdb9nsd_000238 84.38 87.12 1.03247
dsgdb9nsd_004583 376.3 440.71 1.17117
dsgdb9nsd_003798 615.59 765.76 1.24394
dsgdb9nsd_000551 220.69 268.86 1.21827
dsgdb9nsd_000027 22.28 22.88 1.02693
dsgdb9nsd_004181 236.37 286.98 1.21411
dsgdb9nsd_003230 195.37 230.9 1.18186
dsgdb9nsd_003380 140.04 156.44 1.11711
dsgdb9nsd_004266 153.99 197.78 1.28437
dsgdb9nsd_000156 68.13 73.62 1.08058
dsgdb9nsd_000084 97.77 120.25 1.22993
dsgdb9nsd_001290 223.63 260.78 1.16612
dsgdb9nsd_003162 481.57 539.13 1.11953
dsgdb9nsd_000699 90.02 112.13 1.24561
dsgdb9nsd_000036 37.84 39.19 1.03568
dsgdb9nsd_004981 356.11 455.22 1.27831
dsgdb9nsd_001590 132.73 152.04 1.14548
dsgdb9nsd_001409 209.78 249.97 1.19158
dsgdb9nsd_001226 111.27 116.71 1.04889
dsgdb9nsd_002934 376.72 438.46 1.16389
dsgdb9nsd_002150 362.84 458.42 1.26342
dsgdb9nsd_002371 322.64 349.56 1.08344
dsgdb9nsd_003472 155.91 179.69 1.15252
dsgdb9nsd_002695 142.93 159.54 1.11621
dsgdb9nsd_000598 94.92 114.3 1.20417
dsgdb9nsd_000304 116.96 126.58 1.08225
dsgdb9nsd_003567 207.59 235.31 1.13353
dsgdb9nsd_004610 271.95 346.43 1.27387
dsgdb9nsd_000379 179.28 206.5 1.15183
dsgdb9nsd_002241 277.82 338.68 1.21906
dsgdb9nsd_001967 226.92 270.35 1.19139
dsgdb9nsd_002306 155.02 177.75 1.14663
dsgdb9nsd_000412 174.92 211.7 1.21027
dsgdb9nsd_001196 376.05 454.76 1.20931
dsgdb9nsd_003244 173.99 192.51 1.10644
dsgdb9nsd_003999 271.03 346.82 1.27964
dsgdb9nsd_003549 158.74 199.11 1.25432
dsgdb9nsd_000161 93.96 105.38 1.12154
dsgdb9nsd_004751 153.18 189.18 1.23502
dsgdb9nsd_000270 142.12 183.08 1.28821
dsgdb9nsd_003404 425.7 481.59 1.13129
dsgdb9nsd_003266 185.53 229.12 1.23495
dsgdb9nsd_001495 119.69 148.5 1.24071
dsgdb9nsd_002687 858.57 1071.87 1.24844
dsgdb9nsd_002781 147.32 182.29 1.23737
dsgdb9nsd_003851 329.54 385.28 1.16914
dsgdb9nsd_003153 127.29 150.55 1.18273
dsgdb9nsd_001319 158.45 204.96 1.29353
dsgdb9nsd_000221 129.84 146.73 1.13008
dsgdb9nsd_003827 106.84 118.44 1.10857
dsgdb9nsd_000226 218.26 239.66 1.09805
dsgdb9nsd_003752 123.96 141.46 1.14117
dsgdb9nsd_001539 161.17 200.76 1.24564
dsgdb9nsd_001760 147.39 171.99 1.1669
dsgdb9nsd_001780 270.09 346.96 1.28461
dsgdb9nsd_004557 373.22 439.34 1.17716
dsgdb9nsd_002946 297.61 347.82 1.16871
dsgdb9nsd_002853 117.26 142.66 1.21661
dsgdb9nsd_003382 238.64 277.68 1.16359
dsgdb9nsd_002521 391.56 464.42 1.18608
dsgdb9nsd_001527 448.36 553.18 1.23379
dsgdb9nsd_003406 256.43 283.25 1.10459
dsgdb9nsd_002284 157.65 192.49 1.221
dsgdb9nsd_003010 305.02 328.69 1.0776
dsgdb9nsd_000402 111.37 124.66 1.11933
dsgdb9nsd_001974 333.6 387.92 1.16283
dsgdb9nsd_003817 110.27 141.98 1.28757
dsgdb9nsd_002372 359.29 391.84 1.0906
dsgdb9nsd_003156 216.25 257.78 1.19205
dsgdb9nsd_000814 154.07 199.29 1.2935
dsgdb9nsd_003877 177.66 202.02 1.13712
dsgdb9nsd_000209 71.2 73.63 1.03413
dsgdb9nsd_004778 511.74 664.34 1.2982
dsgdb9nsd_001703 198.27 239.56 1.20825
dsgdb9nsd_001095 229.06 276.8 1.20842
dsgdb9nsd_003758 122.87 140.4 1.14267
dsgdb9nsd_003679 149.9 187.4 1.25017
dsgdb9nsd_002594 254.09 303.43 1.19418
dsgdb9nsd_000359 434.38 506.8 1.16672
dsgdb9nsd_000170 73.87 83.41 1.12915
dsgdb9nsd_002933 164.25 182.44 1.11075
dsgdb9nsd_002213 172.67 218.95 1.26803
dsgdb9nsd_002580 235.57 280.13 1.18916
dsgdb9nsd_000101 76.94 89.89 1.16831
dsgdb9nsd_003761 109.4 125.31 1.14543
dsgdb9nsd_001307 1254.38 1508.24 1.20238
dsgdb9nsd_002444 331.75 427.49 1.28859
dsgdb9nsd_002899 227.75 267.61 1.17502
dsgdb9nsd_001799 410.12 479.78 1.16985
dsgdb9nsd_003745 120.47 151.49 1.25749
dsgdb9nsd_002162 261.68 295.07 1.1276
dsgdb9nsd_003245 182.35 201.33 1.10409
dsgdb9nsd_000143 62.57 68.67 1.09749
dsgdb9nsd_003875 81.02 83.4 1.02938
dsgdb9nsd_005000 141.18 162.37 1.15009
dsgdb9nsd_004351 164.27 210.03 1.27857
dsgdb9nsd_003724 119.71 143.86 1.20174
dsgdb9nsd_001113 121.02 157.15 1.29855
dsgdb9nsd_001489 671.42 838.44 1.24876
dsgdb9nsd_001592 705.3 865.92 1.22773
dsgdb9nsd_002850 163.16 182.13 1.11627
dsgdb9nsd_000970 118.98 144.68 1.216
dsgdb9nsd_004727 201.16 256.86 1.27689
dsgdb9nsd_002176 188.36 224.39 1.19128
dsgdb9nsd_003825 80.78 91.06 1.12726
dsgdb9nsd_000199 57.39 58.5 1.01934
dsgdb9nsd_002912 276.08 343.09 1.24272
dsgdb9nsd_003275 141.44 171.85 1.215
dsgdb9nsd_003928 88.36 112.11 1.26879
dsgdb9nsd_002665 228.1 281.94 1.23604
dsgdb9nsd_002560 100.39 126.05 1.2556
dsgdb9nsd_003157 356.0 405.04 1.13775
dsgdb9nsd_000885 105.49 126.4 1.19822
dsgdb9nsd_002173 296.32 351.56 1.18642
dsgdb9nsd_003565 187.6 219.81 1.1717
dsgdb9nsd_000961 126.42 157.66 1.24711
dsgdb9nsd_000480 103.17 114.26 1.10749
dsgdb9nsd_001562 250.88 302.06 1.204
dsgdb9nsd_000630 205.36 254.38 1.2387
dsgdb9nsd_003762 124.96 151.38 1.21143
dsgdb9nsd_004494 200.08 236.83 1.18368
dsgdb9nsd_001005 100.43 115.76 1.15264
dsgdb9nsd_003198 193.55 213.08 1.1009
dsgdb9nsd_000160 195.82 214.6 1.0959
dsgdb9nsd_001880 275.58 334.39 1.2134
dsgdb9nsd_000129 71.74 81.98 1.14274
dsgdb9nsd_001329 283.97 331.52 1.16745
dsgdb9nsd_001835 98.85 111.01 1.12301
dsgdb9nsd_000368 159.31 203.68 1.27851
dsgdb9nsd_001029 110.92 113.08 1.01947
dsgdb9nsd_003570 149.15 159.96 1.07248
dsgdb9nsd_002789 277.09 327.27 1.1811
dsgdb9nsd_000318 119.81 130.07 1.08564
dsgdb9nsd_003729 132.79 158.52 1.19376
dsgdb9nsd_004252 144.34 157.36 1.0902
dsgdb9nsd_001893 488.05 589.04 1.20693
dsgdb9nsd_003068 172.04 212.83 1.2371
dsgdb9nsd_002084 136.89 153.8 1.12353
dsgdb9nsd_003923 178.2 230.9 1.29574
dsgdb9nsd_002562 116.07 133.26 1.1481
dsgdb9nsd_002528 160.3 178.5 1.11354
dsgdb9nsd_004573 159.22 193.9 1.21781
dsgdb9nsd_002295 287.16 324.49 1.13
dsgdb9nsd_003227 204.43 224.72 1.09925
dsgdb9nsd_000291 246.81 301.36 1.22102
dsgdb9nsd_002886 149.77 152.42 1.01769
dsgdb9nsd_001552 191.2 238.5 1.24738
dsgdb9nsd_001538 168.79 201.32 1.19272
dsgdb9nsd_001740 287.07 332.46 1.15811
dsgdb9nsd_002198 177.07 212.56 1.20043
dsgdb9nsd_003047 150.66 176.32 1.17032
dsgdb9nsd_002181 318.76 364.53 1.14359
dsgdb9nsd_000453 150.43 164.13 1.09107
dsgdb9nsd_002830 239.32 287.64 1.20191
dsgdb9nsd_003545 114.29 127.58 1.11628
dsgdb9nsd_003210 201.53 248.56 1.23336
dsgdb9nsd_003037 181.27 207.94 1.14713
dsgdb9nsd_002686 209.12 240.75 1.15125
dsgdb9nsd_000306 94.86 104.14 1.09783
dsgdb9nsd_000047 48.2 49.93 1.03589
dsgdb9nsd_001503 129.02 157.26 1.21888
dsgdb9nsd_000742 128.23 160.91 1.25485
dsgdb9nsd_002800 808.54 936.84 1.15868
dsgdb9nsd_000035 34.87 35.8 1.02667
dsgdb9nsd_004193 341.77 422.52 1.23627
dsgdb9nsd_000120 82.44 91.26 1.10699
dsgdb9nsd_003193 169.72 188.65 1.11154
dsgdb9nsd_000081 176.86 216.96 1.22673
dsgdb9nsd_003485 165.51 199.89 1.20772
dsgdb9nsd_001917 234.85 304.91 1.29832
dsgdb9nsd_002045 173.35 184.54 1.06455
dsgdb9nsd_001938 113.55 143.59 1.26455
dsgdb9nsd_002095 171.42 184.9 1.07864
dsgdb9nsd_004258 136.06 157.47 1.15736
dsgdb9nsd_000740 84.3 93.1 1.10439
dsgdb9nsd_002574 263.32 317.12 1.20431
dsgdb9nsd_000445 85.12 106.72 1.25376
dsgdb9nsd_003337 222.11 286.13 1.28824
dsgdb9nsd_001553 257.67 324.65 1.25994
dsgdb9nsd_002845 226.73 257.09 1.1339
dsgdb9nsd_002863 247.06 281.26 1.13843
dsgdb9nsd_004867 423.59 541.7 1.27883
dsgdb9nsd_001842 295.58 364.26 1.23236
dsgdb9nsd_001497 122.27 147.51 1.20643
dsgdb9nsd_004591 171.92 190.49 1.10802
dsgdb9nsd_001777 299.18 365.31 1.22104
dsgdb9nsd_003087 280.23 340.21 1.21404
dsgdb9nsd_004763 176.13 191.36 1.08647
dsgdb9nsd_004126 428.88 538.42 1.25541
dsgdb9nsd_004641 155.22 184.01 1.18548
dsgdb9nsd_000727 64.95 66.38 1.02202
dsgdb9nsd_000378 163.71 194.8 1.18991
dsgdb9nsd_001158 140.46 151.7 1.08002
dsgdb9nsd_004257 163.24 194.18 1.18954
dsgdb9nsd_001064 206.89 219.84 1.06259
dsgdb9nsd_003430 162.99 195.4 1.19885
dsgdb9nsd_001439 109.2 139.83 1.28049
dsgdb9nsd_004869 426.96 554.22 1.29806
dsgdb9nsd_002603 253.73 309.0 1.21783
dsgdb9nsd_003453 169.69 191.06 1.12594
dsgdb9nsd_003391 213.94 254.31 1.1887
dsgdb9nsd_001649 115.6 136.71 1.18261
dsgdb9nsd_002187 369.55 433.26 1.1724
dsgdb9nsd_001155 173.28 192.2 1.10919
dsgdb9nsd_001823 122.2 137.35 1.12398
dsgdb9nsd_000720 61.64 63.78 1.03472
dsgdb9nsd_000068 172.25 209.92 1.21869
dsgdb9nsd_000857 218.18 268.67 1.23141
dsgdb9nsd_002223 238.77 293.35 1.22859
dsgdb9nsd_004542 166.24 208.81 1.25608
dsgdb9nsd_002524 317.42 361.21 1.13796
dsgdb9nsd_002309 139.33 165.58 1.1884
dsgdb9nsd_000185 69.87 78.77 1.12738
dsgdb9nsd_000880 116.13 142.4 1.22621
dsgdb9nsd_001970 206.53 253.97 1.2297
dsgdb9nsd_001231 372.08 475.07 1.2768
dsgdb9nsd_001140 190.1 220.14 1.15802
dsgdb9nsd_002068 157.64 178.2 1.13042
dsgdb9nsd_002783 244.8 291.63 1.1913
dsgdb9nsd_003499 129.36 140.72 1.08782
dsgdb9nsd_003099 432.69 521.74 1.20581
dsgdb9nsd_004218 101.61 128.38 1.26346
dsgdb9nsd_003217 295.77 338.66 1.14501
dsgdb9nsd_003630 202.27 247.6 1.22411
dsgdb9nsd_002091 173.75 202.91 1.16783
dsgdb9nsd_000124 55.73 68.07 1.22142
dsgdb9nsd_002949 318.65 345.91 1.08555
dsgdb9nsd_001488 390.2 464.07 1.18931
dsgdb9nsd_003873 244.39 261.84 1.0714
dsgdb9nsd_002189 172.9 188.13 1.08809
dsgdb9nsd_001591 330.07 368.94 1.11776
dsgdb9nsd_001453 118.93 143.02 1.20256
dsgdb9nsd_000249 176.21 198.61 1.12712
dsgdb9nsd_000001 4.51 4.81 1.06652
dsgdb9nsd_002063 320.46 367.13 1.14563
dsgdb9nsd_004579 154.17 176.53 1.14503
dsgdb9nsd_001451 138.02 171.32 1.24127
dsgdb9nsd_001278 170.95 189.59 1.10904
dsgdb9nsd_004597 176.4 221.77 1.2572
dsgdb9nsd_003175 329.06 378.54 1.15037
dsgdb9nsd_002232 156.64 200.76 1.28166
dsgdb9nsd_002170 252.81 309.51 1.22428
dsgdb9nsd_002413 300.91 335.62 1.11535
dsgdb9nsd_000775 58.56 67.18 1.1472
dsgdb9nsd_003366 394.7 471.92 1.19564
dsgdb9nsd_000135 94.21 105.71 1.12207
dsgdb9nsd_002049 208.4 221.37 1.06224
dsgdb9nsd_000346 81.61 83.04 1.01752
dsgdb9nsd_004594 197.37 245.25 1.24259
dsgdb9nsd_001094 329.47 402.31 1.22108
dsgdb9nsd_000184 73.68 81.78 1.10993
dsgdb9nsd_003592 261.46 295.44 1.12996
dsgdb9nsd_002950 647.61 761.26 1.17549
dsgdb9nsd_001203 219.69 272.92 1.2423
dsgdb9nsd_000351 65.96 68.68 1.04124
dsgdb9nsd_003357 166.38 190.88 1.14725
dsgdb9nsd_003933 111.92 130.1 1.16244
dsgdb9nsd_002640 126.03 136.12 1.08006
dsgdb9nsd_000055 47.01 47.99 1.02085
dsgdb9nsd_002683 156.92 168.18 1.07176
dsgdb9nsd_004777 273.4 335.63 1.22762
dsgdb9nsd_002253 125.68 146.33 1.16431
dsgdb9nsd_003835 170.8 184.86 1.08232
dsgdb9nsd_003963 196.1 245.34 1.2511
dsgdb9nsd_000407 116.55 133.68 1.14698
dsgdb9nsd_002073 342.51 384.52 1.12265
dsgdb9nsd_004574 329.57 404.33 1.22684
dsgdb9nsd_002854 212.51 259.09 1.21919
dsgdb9nsd_000147 87.33 96.29 1.1026
dsgdb9nsd_001004 108.57 121.5 1.11909
dsgdb9nsd_002500 75.66 92.3 1.21993
dsgdb9nsd_002103 204.56 259.9 1.27053
dsgdb9nsd_000364 122.06 152.64 1.25053
dsgdb9nsd_003737 372.4 450.14 1.20875
dsgdb9nsd_004156 599.4 777.69 1.29745
dsgdb9nsd_001414 269.42 340.24 1.26286
dsgdb9nsd_000041 77.05 79.48 1.03154
dsgdb9nsd_002272 336.68 435.23 1.29271
dsgdb9nsd_000247 230.95 286.89 1.24222
dsgdb9nsd_000607 100.6 102.28 1.0167
dsgdb9nsd_001513 376.08 446.84 1.18815
dsgdb9nsd_001326 250.12 289.81 1.15868
dsgdb9nsd_000710 143.39 157.27 1.0968
dsgdb9nsd_002937 224.68 255.95 1.13918
dsgdb9nsd_000877 137.77 171.89 1.24766
dsgdb9nsd_000724 49.71 51.32 1.03239
dsgdb9nsd_001914 243.29 307.2 1.26269
dsgdb9nsd_000316 123.93 144.73 1.16784
dsgdb9nsd_003769 93.93 118.15 1.25785
dsgdb9nsd_003106 362.04 463.49 1.28022
dsgdb9nsd_001238 205.0 262.48 1.28039
dsgdb9nsd_001024 117.5 124.5 1.05957
dsgdb9nsd_000125 72.89 79.72 1.0937
dsgdb9nsd_001935 133.48 168.56 1.26281
dsgdb9nsd_004203 194.43 244.59 1.25798
dsgdb9nsd_001873 166.24 209.98 1.26311
dsgdb9nsd_003215 291.8 335.92 1.1512
dsgdb9nsd_003931 95.57 123.24 1.28953
dsgdb9nsd_003116 172.43 208.43 1.20878
dsgdb9nsd_000694 96.93 115.42 1.19076
dsgdb9nsd_003189 196.41 221.06 1.1255
dsgdb9nsd_003900 109.58 118.46 1.08104
dsgdb9nsd_001100 730.13 889.06 1.21767
dsgdb9nsd_004111 414.41 526.05 1.2694
dsgdb9nsd_002255 156.71 178.58 1.13956
dsgdb9nsd_003907 103.33 114.46 1.10771
dsgdb9nsd_001332 218.26 263.25 1.20613
dsgdb9nsd_001729 174.84 212.26 1.21402
dsgdb9nsd_000305 240.01 280.05 1.16683
dsgdb9nsd_003079 285.66 324.03 1.13432
dsgdb9nsd_002146 293.22 364.54 1.24323
dsgdb9nsd_004553 204.29 261.56 1.28034
dsgdb9nsd_000232 109.76 124.7 1.13612
dsgdb9nsd_001997 205.93 261.52 1.26995
dsgdb9nsd_002607 78.75 89.21 1.13283
dsgdb9nsd_000352 82.98 98.06 1.18173
dsgdb9nsd_003763 97.73 124.25 1.27136
dsgdb9nsd_003416 172.8 190.44 1.10208
dsgdb9nsd_000118 172.54 184.56 1.06967
dsgdb9nsd_003597 183.82 215.52 1.17245
dsgdb9nsd_002356 153.51 174.71 1.1381
dsgdb9nsd_001350 207.61 237.41 1.14354
dsgdb9nsd_003238 158.59 168.2 1.0606
dsgdb9nsd_001366 84.43 91.32 1.08161
dsgdb9nsd_000990 211.89 247.73 1.16914
dsgdb9nsd_001364 93.73 115.39 1.23109
dsgdb9nsd_001368 93.91 99.8 1.06272
dsgdb9nsd_000103 96.34 116.21 1.20625
dsgdb9nsd_003297 180.03 206.04 1.14448
dsgdb9nsd_003386 245.16 306.41 1.24984
dsgdb9nsd_003868 235.08 260.06 1.10626
dsgdb9nsd_001041 470.16 506.57 1.07744
dsgdb9nsd_001146 206.05 240.94 1.16933
dsgdb9nsd_000577 92.48 94.59 1.02282
dsgdb9nsd_004972 173.23 225.12 1.29954
dsgdb9nsd_002477 145.57 171.47 1.17792
dsgdb9nsd_001089 186.87 226.83 1.21384
dsgdb9nsd_003302 172.55 194.66 1.12814
dsgdb9nsd_000869 159.92 191.75 1.19904
dsgdb9nsd_001896 139.01 165.17 1.18819
dsgdb9nsd_002634 125.26 140.07 1.11823
dsgdb9nsd_004359 139.75 181.49 1.29868
dsgdb9nsd_003358 195.53 231.95 1.18626
dsgdb9nsd_000581 95.78 103.59 1.08154
dsgdb9nsd_001482 289.65 346.54 1.19641
dsgdb9nsd_004796 168.91 185.44 1.09786
dsgdb9nsd_000555 199.2 221.79 1.1134
dsgdb9nsd_002042 200.84 227.48 1.13264
dsgdb9nsd_000080 144.45 170.04 1.17715
dsgdb9nsd_003121 143.01 176.12 1.23152
dsgdb9nsd_001052 126.86 140.48 1.10736
dsgdb9nsd_003536 160.23 181.89 1.13518
dsgdb9nsd_002911 521.41 632.95 1.21392
dsgdb9nsd_001927 166.12 205.13 1.23483
dsgdb9nsd_002280 190.08 241.06 1.2682
dsgdb9nsd_000982 160.12 193.84 1.21059
